strategy,strategy_label,concurrency,run_id,throughput,p99,median_latency,avg_latency,latency_stddev,latency_cv,errors,warmup_ops_per_client,measured_ops_per_client
thread_local,ThreadLocal,600,17,58169.06407591709,86512.0,3943.0,10081.530112962962,16911.313739658486,1.6774550638809975,0,100,900
thread_local,ThreadLocal,600,18,58774.78918215629,78707.0,4139.0,9928.409627777777,15704.634749830811,1.5817875509378934,0,100,900
thread_local,ThreadLocal,600,19,63266.97508229764,77380.0,3957.0,9228.94336111111,14637.057802637328,1.585994975797003,0,100,900
thread_local,ThreadLocal,600,20,83925.43178760432,69113.0,3275.0,6949.286212962963,12735.597053811842,1.8326482265265303,0,100,900
thread_local,ThreadLocal,600,21,83717.0266828256,67901.0,3202.0,6981.994885185185,12587.703667870315,1.802880677351921,0,100,900
thread_local,ThreadLocal,600,22,58544.91546008826,79049.0,3886.0,9900.244972222223,15578.333171865872,1.5735300707785556,0,100,900
thread_local,ThreadLocal,600,23,57139.90692783402,91738.0,3953.0,10249.818868518518,17489.886307427783,1.706360525174405,0,100,900
thread_local,ThreadLocal,600,24,56909.516334474894,83245.0,4074.0,10200.344887037038,16209.398104358503,1.5891029454266772,0,100,900
thread_local,ThreadLocal,600,25,65187.89109895516,78001.0,3695.0,8878.303085185185,14998.77998695565,1.6893746297063705,0,100,900
thread_local,ThreadLocal,600,26,82182.74843751294,62201.0,3339.0,7050.664174074074,12501.478158581,1.773092271867104,0,100,900
thread_local,ThreadLocal,600,27,75237.39663073643,78311.0,3332.0,7888.863544444444,14594.574313332276,1.850022405776074,0,100,900
thread_local,ThreadLocal,600,28,56377.220430411995,87985.0,4214.0,10459.105962962964,16680.30313411863,1.5948115635490951,0,100,900
thread_local,ThreadLocal,600,29,59888.82581737863,84765.0,3822.0,9711.829012962962,16009.62482533414,1.6484665045034392,0,100,900
thread_local,ThreadLocal,600,30,64179.98189903208,84442.0,3666.0,9028.195677777778,15620.294901981451,1.730167960407596,0,100,900
thread_local,ThreadLocal,700,1,58925.36318456091,101181.0,4347.0,11479.987306349207,19461.60263373872,1.695263427946052,0,100,900
thread_local,ThreadLocal,700,2,59690.25188855011,97379.0,4204.0,11373.051142857143,19243.03238781256,1.691985039555385,0,100,900
thread_local,ThreadLocal,700,3,65738.3858761078,97966.0,4092.0,10318.009146031745,18176.10375164302,1.7615901957824351,0,100,900
thread_local,ThreadLocal,700,4,79707.76728627805,84251.0,3571.0,8494.980982539682,16025.913029618538,1.8865154686699943,0,100,900
thread_local,ThreadLocal,700,5,81448.29505907101,80650.0,3546.0,8261.6126,15971.845956383235,1.9332600945707905,0,100,900
thread_local,ThreadLocal,700,6,73241.4442205928,93739.0,3628.0,9449.54483015873,17817.11265081051,1.8854995633171918,0,100,900
thread_local,ThreadLocal,700,7,55545.2004215619,103031.0,4739.0,12250.363196825398,19821.60459827103,1.6180421984066293,0,100,900
thread_local,ThreadLocal,700,8,50925.55907029358,116766.0,4813.0,13394.266434920635,23139.138595982735,1.7275405643459445,0,100,900
thread_local,ThreadLocal,700,9,50546.68074158408,128097.0,4984.0,13519.8575,24074.598236247857,1.7806843183256817,0,100,900
thread_local,ThreadLocal,700,10,51417.73033382112,127574.0,4787.0,13269.884538095239,24072.84345162797,1.814095923933592,0,100,900
thread_local,ThreadLocal,700,11,47115.418929604624,132429.0,5418.0,14344.276774603175,24704.936499896776,1.7222852631815746,0,100,900
thread_local,ThreadLocal,700,12,55619.92781853945,111815.0,4520.0,12273.314315873016,21539.135378739862,1.7549567153905123,0,100,900
thread_local,ThreadLocal,700,13,68035.71290209003,90398.0,3880.0,9965.02355079365,17651.26694883833,1.7713221508074126,0,100,900
thread_local,ThreadLocal,700,14,76911.86257249319,81923.0,3693.0,8781.247907936508,15985.454061112048,1.8204080136109546,0,100,900
thread_local,ThreadLocal,700,15,80386.33630354772,81731.0,3756.0,8434.27553968254,15764.5521456308,1.8691056595744282,0,100,900
thread_local,ThreadLocal,700,16,65513.27824802959,90386.0,3915.0,10570.560388888889,18094.84239520747,1.7118148640660182,0,100,900
thread_local,ThreadLocal,700,17,59889.508846969744,102663.0,4376.0,11278.23070952381,19379.426722723918,1.7183038033048144,0,100,900
thread_local,ThreadLocal,700,18,57397.54562954619,99943.0,4393.0,11772.151795238095,19440.609967802724,1.6514066676974524,0,100,900
thread_local,ThreadLocal,700,19,58068.48837756883,98418.0,4330.0,11643.345826984127,19233.127072140745,1.6518556914771751,0,100,900
thread_local,ThreadLocal,700,20,58882.58197252218,104961.0,4266.0,11490.507825396826,19802.824665881853,1.723407265091694,0,100,900
thread_local,ThreadLocal,700,21,56444.073962625494,101214.0,4503.0,12070.771595238095,19804.20406152562,1.6406742440009678,0,100,900
thread_local,ThreadLocal,700,22,60993.6014989583,96212.0,4139.0,11068.251258730159,19256.714638570884,1.7398154585063308,0,100,900
thread_local,ThreadLocal,700,23,71246.32213296098,93416.0,3825.0,9459.295622222222,17570.391627004406,1.8574735718933677,0,100,900
thread_local,ThreadLocal,700,24,74977.71755956276,86522.0,3806.0,9012.559623809524,16482.208562114873,1.8288043852239169,0,100,900
thread_local,ThreadLocal,700,25,77789.42057797748,84766.0,3577.0,8799.984952380952,16871.78205344616,1.917251239035503,0,100,900
thread_local,ThreadLocal,700,26,61538.742058947566,91556.0,4291.0,11258.335671428571,18380.27465111022,1.6325925241113322,0,100,900
thread_local,ThreadLocal,700,27,56890.82690952367,102894.0,4228.0,11932.144447619048,20403.352432460248,1.7099484943405585,0,100,900
thread_local,ThreadLocal,700,28,58426.505578662494,104059.0,4459.0,11661.589893650793,20467.135664192727,1.7550896447950166,0,100,900
thread_local,ThreadLocal,700,29,60936.629363374,99510.0,4125.0,11089.368474603174,18997.026260807314,1.7130845912744468,0,100,900
thread_local,ThreadLocal,700,30,57305.54750907088,97897.0,4500.0,11824.890380952382,19242.536208425743,1.6272908744610233,0,100,900
thread_local,ThreadLocal,1000,1,70127.22897267174,138418.0,4773.0,13979.407644444444,26075.87405259573,1.865306078470252,0,100,900
thread_local,ThreadLocal,1000,2,69074.19552123426,125583.0,4886.0,13984.144112222222,24695.100845898654,1.7659358089934867,0,100,900
thread_local,ThreadLocal,1000,3,66640.81414276433,137159.0,4956.0,14417.067197777778,26367.820611971772,1.8289309642696305,0,100,900
thread_local,ThreadLocal,1000,4,67968.436127072,125930.0,5238.0,14189.615113333333,24392.556245288433,1.7190428387566243,0,100,900
thread_local,ThreadLocal,1000,5,68317.93411952497,141609.0,4786.0,14108.736464444444,26440.592867021474,1.8740581719457765,0,100,900
thread_local,ThreadLocal,1000,6,70695.77557873761,138843.0,4770.0,13675.719241111112,26043.52733067769,1.9043625327132507,0,100,900
thread_local,ThreadLocal,1000,7,71651.31080475956,118217.0,5013.0,13533.082146666668,23402.78900421684,1.7293022203357555,0,100,900
thread_local,ThreadLocal,1000,8,68584.07220843561,147737.0,4773.0,14043.245373333333,27484.088287074257,1.957103757459347,0,100,900
thread_local,ThreadLocal,1000,9,72246.02710040133,132274.0,4753.0,13321.274446666666,24636.12137219802,1.8493817142520195,0,100,900
thread_local,ThreadLocal,1000,10,70035.67692320643,131471.0,4734.0,13756.728516666666,25212.917353264595,1.8327698567808786,0,100,900
thread_local,ThreadLocal,1000,11,61894.312219585896,139549.0,5155.0,15683.103837777779,27119.216331680957,1.7291995648435126,0,100,900
thread_local,ThreadLocal,1000,12,62399.55873661163,146428.0,5115.0,15849.507227777778,28230.650818039827,1.7811689923433651,0,100,900
thread_local,ThreadLocal,1000,13,71052.78116374982,126768.0,5355.0,13923.282156666666,23576.059769202213,1.6932832003202392,0,100,900
thread_local,ThreadLocal,1000,14,73471.01986132897,131752.0,4797.0,13160.55335,24049.444916678833,1.8273885813987323,0,100,900
thread_local,ThreadLocal,1000,15,73429.38048544413,124849.0,4772.0,13222.531513333333,23366.75142405347,1.7671919632402395,0,100,900
thread_local,ThreadLocal,1000,16,70901.97630571097,132101.0,4774.0,13742.662937777777,25664.96137369177,1.8675391727130477,0,100,900
thread_local,ThreadLocal,1000,17,75494.98654709411,117279.0,4755.0,12750.54106,22749.972507620812,1.784235853252553,0,100,900
thread_local,ThreadLocal,1000,18,72836.24752508501,138124.0,4824.0,13323.64088111111,25178.86104290881,1.8897883294501592,0,100,900
thread_local,ThreadLocal,1000,19,72886.25974652528,127478.0,4614.0,13242.539315555556,23824.83797895014,1.799114007610604,0,100,900
thread_local,ThreadLocal,1000,20,73934.12863454016,129126.0,4750.0,13019.768381111111,24062.862737040046,1.8481790176813049,0,100,900
thread_local,ThreadLocal,1000,21,73660.25023655107,126725.0,4845.0,13117.006195555556,25052.726617610777,1.909942424674573,0,100,900
thread_local,ThreadLocal,1000,22,71185.90142505597,126228.0,4728.0,13503.916894444445,24267.95755550845,1.7971050729357172,0,100,900
thread_local,ThreadLocal,1000,23,70114.91949280568,132177.0,5002.0,13815.774467777777,24926.902128693153,1.8042348756365132,0,100,900
thread_local,ThreadLocal,1000,24,70221.27360688624,121433.0,5072.0,13697.358065555556,23840.315795182152,1.740504678426482,0,100,900
thread_local,ThreadLocal,1000,25,69707.97573716872,129739.0,4918.0,13930.396588888889,25502.527208802418,1.8307107802762521,0,100,900
thread_local,ThreadLocal,1000,26,68799.77261595648,128133.0,5319.0,14095.035301111111,23775.518115827887,1.6868008917972461,0,100,900
thread_local,ThreadLocal,1000,27,55759.50023007764,153597.0,5599.0,17554.307592222223,30210.700910339823,1.720985048919005,0,100,900
thread_local,ThreadLocal,1000,28,60931.92312766671,137436.0,5612.0,15961.561084444444,26697.91236956556,1.6726379223385848,0,100,900
thread_local,ThreadLocal,1000,29,69798.63932542462,108124.0,5696.0,14161.28568888889,21429.08582247863,1.5132161226923162,0,100,900
thread_local,ThreadLocal,1000,30,74705.36773837503,117579.0,4635.0,12976.421735555556,23224.544304212173,1.7897494993228091,0,100,900
hdr_histogram,HdrHistogram,100,1,191246.28563854613,1162.0,489.0,517.4636222222222,220.54708658033283,0.42620790546242493,0,100,900
hdr_histogram,HdrHistogram,100,2,195191.7230034259,1095.0,486.0,507.05932222222225,204.17288531606457,0.40266074671749036,0,100,900
hdr_histogram,HdrHistogram,100,3,193737.61124663881,1113.0,483.0,511.0806777777778,209.74462922558823,0.4103943630535509,0,100,900
hdr_histogram,HdrHistogram,100,4,189550.91762978735,1153.0,496.0,522.3325333333333,229.3127094471909,0.43901670834822765,0,100,900
hdr_histogram,HdrHistogram,100,5,191150.84819132238,1236.0,487.0,517.9579111111111,240.3886090675915,0.4641083839262451,0,100,900
hdr_histogram,HdrHistogram,100,6,196683.56886584073,1103.0,479.0,503.6748111111111,213.40479941768473,0.4236955962655981,0,100,900
hdr_histogram,HdrHistogram,100,7,169166.62546832795,1546.0,512.0,584.5946,674.5296927397429,1.153841812325572,0,100,900
hdr_histogram,HdrHistogram,100,8,190551.2854271071,1184.0,491.0,519.7032666666667,215.02781728061257,0.4137511366048996,0,100,900
hdr_histogram,HdrHistogram,100,9,190482.85878723217,1167.0,493.0,519.8644333333333,216.8375699171777,0.41710406793330873,0,100,900
hdr_histogram,HdrHistogram,100,10,187412.57359618883,1268.0,483.0,528.7306666666667,408.18023704766364,0.7720003071147697,0,100,900
hdr_histogram,HdrHistogram,100,11,197569.87213291047,1078.0,477.0,501.7233777777778,196.15992347313434,0.39097226113313993,0,100,900
